game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746578,78,677587,swinging_strike,Brayan Rocchio called out on strikes.,,strikeout
746578,77,678877,called_strike,Jhonkensy Noel called out on strikes.,,strikeout
746578,76,666310,ball,Bo Naylor flies out to left fielder Jason Heyward.,,field_out
746578,72,665926,ball,"Andrés Giménez grounds out, first baseman Jon Singleton to pitcher Ryan Pressly.",,field_out
746578,71,657041,called_strike,"Lane Thomas reaches on a fielder's choice out, pitcher Ryan Pressly to catcher Victor Caratini to third baseman Grae Kessinger to first baseman Jon Singleton to shortstop Jeremy Peña.   José Ramírez out at home.    Lane Thomas to 2nd.",,fielders_choice_out
746578,70,647304,called_strike,"Josh Naylor grounds out, second baseman Mauricio Dubón to first baseman Jon Singleton.   José Ramírez to 3rd.",,field_out
746578,69,608070,ball,José Ramírez doubles (39) on a line drive to right fielder Kyle Tucker.,,double
746578,65,700932,foul,Kyle Manzardo strikes out swinging.,,strikeout
746578,64,686823,hit_into_play,Will Brennan singles on a soft ground ball to catcher Victor Caratini.,single,single
746578,63,677587,ball,Brayan Rocchio strikes out swinging.,,strikeout
746578,62,678877,ball,Jhonkensy Noel flies out to right fielder Kyle Tucker.,,field_out
746578,57,666310,blocked_ball,Bo Naylor strikes out swinging.,,strikeout
746578,56,665926,called_strike,Andrés Giménez strikes out swinging.,,strikeout
746578,55,657041,ball,Lane Thomas pops out to catcher Victor Caratini in foul territory.,,field_out
746578,54,647304,ball,Josh Naylor singles on a ground ball to right fielder Kyle Tucker.,,single
746578,49,608070,foul,José Ramírez flies out to center fielder Jake Meyers.,,field_out
746578,48,700932,called_strike,Kyle Manzardo pops out to third baseman Grae Kessinger.,,field_out
746578,47,686823,ball,Will Brennan flies out to right fielder Kyle Tucker.,,field_out
746578,41,677587,ball,Brayan Rocchio grounds out softly to first baseman Jon Singleton.,,field_out
746578,40,678877,hit_into_play,Jhonkensy Noel singles on a line drive to center fielder Jake Meyers.,single,single
746578,39,666310,called_strike,Bo Naylor pops out to third baseman Grae Kessinger in foul territory.,,field_out
746578,38,665926,ball,Andrés Giménez pops out to third baseman Grae Kessinger in foul territory.,,field_out
746578,33,657041,swinging_strike_blocked,Lane Thomas flies out to left fielder Jason Heyward.,,field_out
746578,32,647304,ball,Josh Naylor singles on a ground ball to center fielder Jake Meyers.,,single
746578,31,608070,ball,José Ramírez out on a sacrifice fly to left fielder Jason Heyward.   Will Brennan scores.,,sac_fly
746578,30,700932,hit_into_play,Kyle Manzardo grounds out to first baseman Jon Singleton.   Will Brennan to 3rd.,field_out,field_out
746578,29,686823,swinging_strike,Will Brennan doubles (13) on a line drive to center fielder Jake Meyers.,,double
746578,24,677587,called_strike,Brayan Rocchio strikes out swinging.,,strikeout
746578,23,678877,ball,Jhonkensy Noel flies out to left fielder Jason Heyward.,,field_out
746578,22,666310,swinging_strike,Bo Naylor called out on strikes.,,strikeout
746578,21,665926,ball,Andrés Giménez singles on a line drive to center fielder Jake Meyers.,,single
746578,12,657041,foul,"Lane Thomas grounds out softly, pitcher Justin Verlander to first baseman Jon Singleton.",,field_out
746578,11,647304,ball,"Josh Naylor lines out, pitcher Justin Verlander to second baseman Mauricio Dubón to first baseman Jon Singleton.",,field_out
746578,10,608070,called_strike,José Ramírez homers (39) on a fly ball to right field.    Will Brennan scores.,,home_run
746578,9,700932,called_strike,Kyle Manzardo strikes out swinging.,,strikeout
746578,8,686823,called_strike,Will Brennan doubles (12) on a line drive to right fielder Kyle Tucker.,,double
746580,80,677587,hit_into_play,Brayan Rocchio flies out to center fielder Jake Meyers.,field_out,field_out
746580,79,682657,called_strike,"Angel Martínez grounds out, second baseman Jose Altuve to first baseman Victor Caratini.   Lane Thomas scores.    David Fry to 3rd.",,field_out
746580,78,678877,swinging_strike,Jhonkensy Noel strikes out swinging.,,strikeout
