game_pk,at_bat_number,batter,description,des,first_pitch_events,events
746578,78,Bryan Rocchio,swinging_strike,Brayan Rocchio called out on strikes.,,strikeout
746578,65,Kyle Manzardo,foul,Kyle Manzardo strikes out swinging.,,strikeout
746578,64,Will Brennan,hit_into_play,Will Brennan singles on a soft ground ball to catcher Victor Caratini.,single,single
746578,49,Jose Ramirez,foul,José Ramírez flies out to center fielder Jake Meyers.,,field_out
746578,40,Jhonkensy Noel,hit_into_play,Jhonkensy Noel singles on a line drive to center fielder Jake Meyers.,single,single
746578,33,Lane Thomas,swinging_strike_blocked,Lane Thomas flies out to left fielder Jason Heyward.,,field_out
746578,30,Kyle Manzardo,hit_into_play,Kyle Manzardo grounds out to first baseman Jon Singleton.   Will Brennan to 3rd.,field_out,field_out
746578,29,Will Brennan,swinging_strike,Will Brennan doubles (13) on a line drive to center fielder Jake Meyers.,,double
746578,22,Bo Naylor,swinging_strike,Bo Naylor called out on strikes.,,strikeout
746578,12,Lane Thomas,foul,"Lane Thomas grounds out softly, pitcher Justin Verlander to first baseman Jon Singleton.",,field_out
746580,80,Bryan Rocchio,hit_into_play,Brayan Rocchio flies out to center fielder Jake Meyers.,field_out,field_out
746580,78,Jhonkensy Noel,swinging_strike,Jhonkensy Noel strikes out swinging.,,strikeout
746580,75,Josh Naylor,foul,Josh Naylor walks.,,walk
746580,68,Daniel Schneemann,swinging_strike,Daniel Schneemann walks.   Will Brennan to 2nd.,,walk
746580,67,Bo Naylor,swinging_strike,Bo Naylor strikes out swinging.,,strikeout
746580,58,Josh Naylor,foul,Josh Naylor called out on strikes.,,strikeout
746580,44,Bo Naylor,foul,"Bo Naylor grounds out, shortstop Grae Kessinger to first baseman Victor Caratini.",,field_out
746580,43,Will Brennan,foul,Will Brennan singles on a ground ball to center fielder Jake Meyers.,,single
746580,16,Andres Gimenez,foul,Andrés Giménez reaches on a throwing error by pitcher Ronel Blanco.,,field_error
746583,55,Steven Kwan,hit_into_play,Steven Kwan singles on a sharp line drive to right fielder Jake Fraley.,single,single
746583,54,Bryan Rocchio,foul,Brayan Rocchio flies out to left fielder Will Benson.,,field_out
746583,40,Josh Naylor,foul,Josh Naylor strikes out swinging.,,strikeout
746583,25,Josh Naylor,hit_into_play,Josh Naylor singles on a ground ball to left fielder Blake Dunn.   José Ramírez scores.,single,single
746583,24,Jose Ramirez,foul,José Ramírez triples (2) on a fly ball to center fielder TJ Friedl.,,triple
746583,18,Bryan Rocchio,foul_bunt,Brayan Rocchio strikes out swinging.,,strikeout
746581,64,Bo Naylor,swinging_strike,Bo Naylor strikes out swinging.,,strikeout
746581,58,Lane Thomas,foul,"Lane Thomas grounds out, shortstop Elly De La Cruz to first baseman Ty France.   José Ramírez scores.",,field_out
746581,56,Jose Ramirez,swinging_strike,José Ramírez doubles (37) on a line drive to right fielder Jake Fraley.   Kyle Manzardo to 3rd.,,double
746581,48,Jhonkensy Noel,foul,"Jhonkensy Noel grounds out, second baseman Jonathan India to first baseman Ty France.",,field_out
746581,42,Josh Naylor,hit_into_play,Josh Naylor doubles (27) on a sharp line drive to right fielder Jake Fraley.   José Ramírez scores.,double,double
746581,32,Will Brennan,hit_into_play,Will Brennan singles on a line drive to right fielder Jake Fraley.,single,single
746581,25,Lane Thomas,hit_into_play,Lane Thomas pops out to first baseman Ty France in foul territory.,field_out,field_out
746581,16,Angel Martinez,hit_into_play,Angel Martínez flies out to center fielder TJ Friedl.,field_out,field_out
745118,61,Angel Martinez,hit_into_play,Angel Martínez flies out to right fielder Lars Nootbaar.,field_out,field_out
745118,56,Lane Thomas,foul,"Lane Thomas grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745118,54,Kyle Manzardo,hit_into_play,Kyle Manzardo flies out to right fielder Lars Nootbaar.,field_out,field_out
745118,53,Will Brennan,foul_tip,Will Brennan flies out to center fielder Michael Siani.,,field_out
745118,46,Jhonkensy Noel,hit_into_play,Jhonkensy Noel lines out sharply to center fielder Lars Nootbaar.,field_out,field_out
745118,37,Angel Martinez,foul,Angel Martínez grounds out to first baseman Paul Goldschmidt.   Brayan Rocchio to 3rd.,,field_out
745118,29,Jhonkensy Noel,hit_into_play,Jhonkensy Noel flies out to center fielder Lars Nootbaar.,field_out,field_out
745118,28,Josh Naylor,foul,"Josh Naylor grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",,field_out
745118,22,Daniel Schneemann,foul,"Daniel Schneemann grounds out, second baseman Brendan Donovan to first baseman Paul Goldschmidt.",,field_out
745118,8,Jhonkensy Noel,hit_into_play,"Jhonkensy Noel grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",field_out,field_out
745118,2,Daniel Schneemann,foul,Daniel Schneemann walks.,,walk
745124,75,David Fry,swinging_strike,David Fry strikes out swinging.,,strikeout
745124,73,Bryan Rocchio,swinging_strike,Brayan Rocchio strikes out swinging.,,strikeout
745124,63,David Fry,hit_into_play,David Fry singles on a sharp line drive to center fielder Michael Siani.   Angel Martínez to 2nd.,single,single
745124,52,Will Brennan,foul,Will Brennan singles on a ground ball to right fielder Jordan Walker.   Andrés Giménez to 3rd.,,single
745124,51,Andres Gimenez,hit_into_play,Andrés Giménez singles on a line drive to right fielder Jordan Walker.,single,single
745124,44,Jose Ramirez,foul,José Ramírez pops out to third baseman Nolan Arenado in foul territory.,,field_out
745124,37,Bryan Rocchio,foul,Brayan Rocchio strikes out swinging.,,strikeout
745124,27,Lane Thomas,foul,"Lane Thomas grounds out, third baseman Nolan Arenado to first baseman Paul Goldschmidt.",,field_out
745124,19,Kyle Manzardo,swinging_strike,"Kyle Manzardo grounds out, second baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745124,18,Angel Martinez,foul,Angel Martínez flies out to right fielder Jordan Walker.,,field_out
745124,10,Andres Gimenez,foul,"Andrés Giménez singles on a ground ball to right fielder Jordan Walker.  Lane Thomas out at home, shortstop Masyn Winn to catcher Iván Herrera.",,single
745124,1,Angel Martinez,hit_into_play,Angel Martínez flies out to center fielder Michael Siani.,field_out,field_out
745123,70,David Fry,hit_into_play,David Fry flies out to center fielder Lars Nootbaar.,field_out,field_out
745123,51,David Fry,foul,David Fry lines out to center fielder Lars Nootbaar.,,field_out
745123,39,Lane Thomas,foul,"Lane Thomas grounds out, third baseman Thomas Saggese to first baseman Paul Goldschmidt.",,field_out
745123,37,Jose Ramirez,foul,José Ramírez homers (36) on a line drive to right field.,,home_run
745123,29,Angel Martinez,hit_into_play,Angel Martínez flies out to left fielder Alec Burleson.,field_out,field_out
745123,28,Daniel Schneemann,hit_into_play,Daniel Schneemann singles on a line drive to right fielder Jordan Walker.   Bo Naylor scores.,single,single
745123,25,Andres Gimenez,hit_into_play,"Andrés Giménez grounds out, shortstop Masyn Winn to first baseman Paul Goldschmidt.",field_out,field_out
745123,17,Kyle Manzardo,hit_into_play,Kyle Manzardo lines out to second baseman Brendan Donovan.,field_out,field_out
745123,1,Angel Martinez,hit_into_play,Angel Martínez flies out to second baseman Brendan Donovan.,field_out,field_out
746579,66,Bryan Rocchio,foul,Brayan Rocchio flies out to left fielder Manuel Margot in foul territory.,,field_out
746579,60,Lane Thomas,foul,Lane Thomas pops out to catcher Ryan Jeffers in foul territory.,,field_out
746579,58,Jose Ramirez,swinging_strike,José Ramírez walks.   David Fry to 2nd.,,walk
746579,57,David Fry,hit_into_play,David Fry singles on a line drive to right fielder Matt Wallner.,single,single
746579,52,Austin Hedges,foul,Austin Hedges strikes out swinging.,,strikeout
746579,51,Bryan Rocchio,foul,Brayan Rocchio out on a sacrifice fly to center fielder Byron Buxton.   Josh Naylor scores.    Andrés Giménez to 3rd.,,sac_fly
746579,49,Andres Gimenez,hit_into_play,Andrés Giménez singles on a ground ball to shortstop Willi Castro.   Josh Naylor to 2nd.,single,single
746579,41,Angel Martinez,swinging_strike,Angel Martínez called out on strikes.,,strikeout
746579,40,Austin Hedges,hit_into_play,Austin Hedges flies out to left fielder Manuel Margot.,field_out,field_out
746579,31,Jhonkensy Noel,swinging_strike_blocked,Jhonkensy Noel flies out to right fielder Matt Wallner.,,field_out
746579,21,Angel Martinez,foul,Angel Martínez strikes out swinging.,,strikeout
746579,17,Austin Hedges,foul,Austin Hedges lines out to left fielder Manuel Margot.,,field_out
746579,14,Andres Gimenez,foul,Andrés Giménez strikes out swinging.,,strikeout
746579,13,Lane Thomas,foul_tip,Lane Thomas singles on a ground ball to shortstop Willi Castro.,,single
746579,7,Jose Ramirez,foul_tip,José Ramírez pops out to shortstop Willi Castro.,,field_out
746582,77,Bryan Rocchio,foul,Brayan Rocchio singles on a ground ball to right fielder Matt Wallner.   Andrés Giménez scores.    Will Brennan to 2nd.,,single
746582,73,Kyle Manzardo,foul,Kyle Manzardo singles on a ground ball to center fielder Willi Castro.   Josh Naylor scores.,,single
746582,65,Lane Thomas,hit_into_play,"Lane Thomas grounds out, shortstop Carlos Correa to first baseman Carlos Santana.",field_out,field_out
746582,59,Bo Naylor,foul,Bo Naylor flies out to center fielder Willi Castro.,,field_out
746582,45,Angel Martinez,foul,"Angel Martínez grounds out, shortstop Carlos Correa to first baseman Carlos Santana.",,field_out
746582,41,Bryan Rocchio,swinging_strike,Brayan Rocchio strikes out swinging.,,strikeout
746582,39,Jhonkensy Noel,swinging_strike,Jhonkensy Noel strikes out swinging.,,strikeout
746582,38,Andres Gimenez,foul,Andrés Giménez singles on a ground ball to center fielder Willi Castro.,,single
746582,13,Josh Naylor,hit_into_play,Josh Naylor homers (30) on a fly ball to right center field.,home_run,home_run
746582,8,Lane Thomas,hit_into_play,Lane Thomas pops out to shortstop Carlos Correa.,field_out,field_out
746587,73,Bo Naylor,hit_into_play,Bo Naylor grounds out to pitcher Griffin Jax.,field_out,field_out
746587,71,David Fry,swinging_strike,David Fry strikes out swinging.,,strikeout
746587,40,Bryan Rocchio,foul_bunt,"Brayan Rocchio grounds into a double play, second baseman Edouard Julien to shortstop Brooks Lee to first baseman Carlos Santana.   Bo Naylor out at 2nd.    Brayan Rocchio out at 1st.",,grounded_into_double_play
