pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
FS,2024-09-28,82.8,-1.25,6.12,"Neris, Héctor",686823,593576,single,hit_into_play,,,,,14.0,Will Brennan singles on a soft ground ball to catcher Victor Caratini.,R,L,R,CLE,HOU,X,2.0,ground_ball,0,0,2024,-0.37,-0.19,0.01,0.86,,,,2,7,Bot,118.84,196.78,,,,,3.572214623655734,-120.51590350393168,-5.09735735133234,-4.296812376609937,24.51308243203541,-33.193864351295176,3.27,1.51,12.0,13.8,54.0,82.2,1068.0,6.0,746578,605170,572138,643289,666197,665161,518792,676694,663656,54.51,0.16,0.153,0.9,1.0,1.0,0.0,1.0,64,1,Split-Finger,3,4,3,4,4,3,3,4,Standard,Standard,261.0,0.029,0.128,68.0,7.8,0.185,-0.128,88.0,-1,-1,0.27,0.27,35,26,35,26,1,3,3.0,1.0,3.0,9.0,3.53,0.37,-0.37,42.0
CH,2024-09-28,85.6,-1.85,6.87,"Verlander, Justin",678877,434378,single,hit_into_play,,,,,5.0,Jhonkensy Noel singles on a line drive to center fielder Jake Meyers.,R,R,R,CLE,HOU,X,8.0,line_drive,0,0,2024,-1.03,0.75,0.25,2.92,,,,2,4,Bot,126.53,99.59,,,,,6.9853983912107065,-124.41167304232548,-4.535562598961266,-12.068063396369045,24.942271057556624,-23.61253697038191,3.54,1.72,182.0,80.5,14.0,85.2,1869.0,6.1,746578,605170,572138,643289,666197,665161,518792,676694,663656,54.43,0.797,0.743,0.9,1.0,1.0,0.0,4.0,40,1,Changeup,3,4,3,4,4,3,3,4,Standard,Standard,236.0,0.018,0.128,76.5,7.8,0.885,-0.128,88.0,-1,-1,0.369,0.369,41,22,41,23,2,1,8.0,1.0,,7.0,2.36,1.03,1.03,47.9
CU,2024-09-28,78.3,-1.94,6.94,"Verlander, Justin",700932,434378,field_out,hit_into_play,,,,,14.0,Kyle Manzardo grounds out to first baseman Jon Singleton.   Will Brennan to 3rd.,R,L,R,CLE,HOU,X,3.0,ground_ball,0,0,2024,0.48,-1.21,0.59,1.21,,686823.0,,0,3,Bot,157.62,167.38,,,,,4.531914414468584,-113.94682587707256,-3.251351347552988,3.327798282320533,21.71108026742024,-42.30220710424263,3.17,1.44,4.0,61.5,-25.0,77.8,2763.0,6.0,746578,605170,572138,643289,666197,665161,518792,676694,663656,54.45,0.069,0.052,0.0,1.0,0.0,0.0,2.0,30,1,Curveball,2,4,2,4,4,2,2,4,Standard,Standard,32.0,-0.018,-0.264,68.5,8.4,0.085,0.264,88.0,-2,-2,0.388,0.388,41,23,41,24,2,1,8.0,1.0,,7.0,4.94,-0.48,0.48,51.7
SI,2024-09-27,95.4,2.83,5.69,"Hader, Josh",677587,623352,field_out,hit_into_play,,,,,6.0,Brayan Rocchio flies out to center fielder Jake Meyers.,R,R,L,CLE,HOU,X,8.0,fly_ball,0,0,2024,0.49,1.64,0.58,2.35,681807.0,,,2,9,Bot,152.56,58.08,,,,,-7.052661567447273,-138.76511736909964,-6.936672746916468,7.76601773257015,28.30370279615641,-9.561873944959714,3.14,1.44,354.0,93.8,28.0,96.4,2397.0,6.7,746580,673237,605170,514888,608324,666197,643289,676694,663656,53.8,0.163,0.226,0.0,1.0,0.0,0.0,3.0,80,1,Sinker,2,5,2,5,5,2,2,5,Standard,Standard,149.0,-0.015,-0.328,75.4,7.5,0.403,0.328,93.8,-3,-3,0.015,0.015,30,23,30,23,1,0,3.0,2.0,4.0,1.0,0.85,0.49,-0.49,33.1
FF,2024-09-25,93.2,-1.84,5.6,"Pagán, Emilio",680757,641941,single,hit_into_play,,,,,5.0,Steven Kwan singles on a sharp line drive to right fielder Jake Fraley.,R,L,R,CLE,CIN,X,9.0,line_drive,0,0,2024,-0.19,1.51,-0.01,2.05,,,,2,8,Bot,160.03,105.73,,,,,5.15115232608876,-135.52570336294704,-6.704149431656581,-3.494438088556022,29.517356898745696,-12.29356277064354,3.21,1.47,175.0,100.6,10.0,93.9,2563.0,6.7,746583,663886,664034,663697,669289,682829,666181,670770,641584,53.8,0.78,0.723,0.9,1.0,1.0,0.0,4.0,55,1,4-Seam Fastball,2,2,2,2,2,2,2,2,Standard,Standard,204.0,0.025,0.128,66.2,6.4,0.912,-0.128,100.6,0,0,0.525,0.525,33,26,33,27,1,3,1.0,13.0,,2.0,1.12,0.19,-0.19,42.7
SL,2024-09-25,85.3,-2.51,5.67,"Junis, Jakob",647304,596001,single,hit_into_play,,,,,1.0,Josh Naylor singles on a ground ball to left fielder Blake Dunn.   José Ramírez scores.,R,L,R,CLE,CIN,X,7.0,ground_ball,0,0,2024,0.91,0.01,-0.48,2.71,608070.0,,,1,4,Bot,90.85,109.65,,,,,2.9227790395620232,-124.30948257032962,-0.7281265221109321,8.952331832960747,23.848632890971817,-32.15515661447128,3.11,1.42,106.0,85.2,5.0,85.1,2505.0,6.0,746583,663886,664034,669289,682622,682829,694362,670770,641584,54.49,0.363,0.332,0.9,1.0,1.0,0.0,4.0,25,1,Slider,1,0,1,0,0,2,2,0,Strategic,Standard,70.0,0.053,0.57,70.1,7.0,0.4,-0.57,88.0,1,1,0.742,0.742,31,27,32,27,2,1,7.0,1.0,,2.0,3.1,-0.91,0.91,27.5
FC,2024-09-24,88.5,-1.56,5.62,"Gibaut, Ian",647304,664139,double,hit_into_play,,,,,6.0,Josh Naylor doubles (27) on a sharp line drive to right fielder Jake Fraley.   José Ramírez scores.,R,L,R,CLE,CIN,X,9.0,line_drive,0,0,2024,0.45,0.47,0.75,2.46,,,608070.0,2,5,Bot,212.0,112.0,,,,,4.757755494226798,-129.06981478074945,-2.7953614464328504,4.344844148351253,21.79591538247006,-26.57348733658034,3.09,1.42,178.0,107.9,10.0,90.5,2317.0,7.0,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.51,0.88,0.869,1.25,1.0,1.0,1.0,4.0,42,1,Cutter,3,1,3,1,1,4,4,1,Infield shade,Standard,160.0,0.083,0.728,78.2,7.4,1.12,-0.728,107.9,2,2,0.803,0.803,30,27,31,27,1,2,,2.0,5.0,1.0,2.39,-0.45,0.45,45.0
CH,2024-09-24,85.6,-2.47,5.26,"Spiers, Carson",686823,686730,single,hit_into_play,,,,,6.0,Will Brennan singles on a line drive to right fielder Jake Fraley.,R,L,R,CLE,CIN,X,9.0,line_drive,0,0,2024,-1.16,0.51,0.67,2.14,,,,0,4,Bot,175.35,104.45,,,,,9.792051217840616,-124.40285391271854,-2.1801177172695207,-13.861250216801425,21.933059052705094,-26.59198776029877,3.27,1.52,226.0,85.7,15.0,86.4,1731.0,6.6,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.91,0.96,0.91,0.9,1.0,1.0,0.0,4.0,32,1,Changeup,3,1,3,1,1,3,3,1,Standard,Standard,247.0,0.023,0.403,72.5,7.0,1.112,-0.403,88.0,2,2,0.793,0.793,26,26,27,26,2,1,7.0,2.0,,1.0,2.58,1.16,-1.16,29.4
ST,2024-09-24,80.4,-2.79,5.18,"Spiers, Carson",657041,686730,field_out,hit_into_play,,,,,4.0,Lane Thomas pops out to first baseman Ty France in foul territory.,R,R,R,CLE,CIN,X,3.0,popup,0,0,2024,1.19,-0.36,-0.7,2.21,,,647304.0,1,3,Bot,165.03,187.36,,,,,2.4076947757699623,-117.07007782697492,0.8143087500589259,10.44614522441779,22.27589766929252,-35.87218661816206,3.14,1.48,102.0,62.9,70.0,81.3,2735.0,6.9,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.63,0.001,0.0,0.0,1.0,0.0,0.0,3.0,25,1,Sweeper,3,0,3,0,0,3,3,0,Standard,Standard,79.0,-0.014,-0.301,70.3,6.5,0.001,0.301,88.0,3,3,0.849,0.849,26,28,27,29,2,1,7.0,2.0,,1.0,3.89,-1.19,-1.19,29.0
FF,2024-09-24,92.7,-2.29,5.36,"Spiers, Carson",682657,686730,field_out,hit_into_play,,,,,11.0,Angel Martínez flies out to center fielder TJ Friedl.,R,L,R,CLE,CIN,X,8.0,fly_ball,0,0,2024,-0.79,1.37,-1.01,2.55,,686823.0,677587.0,1,2,Bot,97.45,65.57,,,,,5.045531788102742,-134.96600175275634,-4.435810201869571,-10.792026856111953,28.89924927495433,-14.645636067516502,3.23,1.43,338.0,89.2,28.0,93.4,2397.0,6.6,746581,663886,664034,663697,669289,682829,668715,670770,641584,53.85,0.06,0.075,0.0,1.0,0.0,0.0,3.0,16,1,4-Seam Fastball,3,0,3,0,0,3,3,0,Standard,Standard,213.0,-0.021,-0.464,69.4,7.4,0.124,0.464,89.2,3,3,0.848,0.848,26,22,27,22,2,1,7.0,2.0,,3.0,1.28,0.79,-0.79,32.7
